question_id,set,difficulty,time_limit_ms,mode,instruction_en,instruction_hi,option_1,option_2,option_3,correct_positions,category,trap,twist_eligible,points
Q001016,daily-051,5,1700,go,TAP ROTA,ROTA पर टैप करें,ROTI,ROTA,FLUTE,2,mixed,lookalike,yes,18
Q001017,daily-051,5,1700,go,TAP ROTI,ROTI पर टैप करें,ROTA,ROTI,DOCTOR,2,mixed,lookalike,yes,18
Q001018,daily-051,5,1700,except,TAP BOTH EXCEPT TURBAN,TURBAN छोड़कर बाकी दोनों पर टैप करें,CHAIR,AUTO,TURBAN,"1,2",mixed,,no,26
Q001019,daily-051,5,1700,hold,DON'T TAP IF YOU SEE SUN,अगर SUN दिखे तो टैप न करें,BIRYANI,RICE,SHAWL,"1,2,3",mixed,,no,26
Q001020,daily-051,5,1700,rule,TAP THE ANIMAL,जानवर पर टैप करें,WEAVER,BAG,PARROT,3,animal,,yes,21
Q001021,daily-052,1,4000,position,TAP THE WORD RIGHT,जिस पर लिखा है RIGHT उस पर टैप करें,MIDDLE,LEFT,RIGHT,3,position,,yes,12
Q001022,daily-052,1,4000,rule,TAP THE BIGGEST NUMBER,सबसे बड़ी संख्या पर टैप करें,43,53,33,2,biggest,,no,12
Q001023,daily-052,2,3200,go,TAP MOUNTAIN,MOUNTAIN पर टैप करें,MOUNTAIN,CLOUDY,BREEZE,1,mixed,,no,12
Q001024,daily-052,2,3200,rule,TAP THE SMALLEST NUMBER,सबसे छोटी संख्या पर टैप करें,55,64,91,1,smallest,,no,14
Q001025,daily-052,2,3200,hold,DON'T TAP IF YOU SEE THUNDER,अगर THUNDER दिखे तो टैप न करें,RED,TEACHER,THUNDER,,mixed,no_go,no,17
Q001026,daily-052,3,2600,position,TAP THE WORD MIDDLE,जिस पर लिखा है MIDDLE उस पर टैप करें,MIDDLE,RIGHT,LEFT,1,position,slot_conflict,yes,16
Q001027,daily-052,3,2600,go,TAP CLOUD,CLOUD पर टैप करें,CUSTARD APPLE,STAR,CLOUD,3,mixed,,yes,13
Q001028,daily-052,3,2600,hold,DON'T TAP IF YOU SEE GARDEN,अगर GARDEN दिखे तो टैप न करें,DELHI,THUNDER,GARDEN,,mixed,no_go,no,20
Q001029,daily-052,3,2600,except,TAP BOTH EXCEPT BRIDGE,BRIDGE छोड़कर बाकी दोनों पर टैप करें,UPMA,BRIDGE,HAIL,"1,3",mixed,,no,20
Q001030,daily-052,4,2100,go,TAP BUCKET,BUCKET पर टैप करें,BAG,BAT,BUCKET,3,mixed,lookalike,yes,15
Q001031,daily-052,4,2100,hold,DON'T TAP IF YOU SEE BEAT,अगर BEAT दिखे तो टैप न करें,MOUSE,BEAT,PEN,,mixed,no_go,no,23
Q001032,daily-052,4,2100,go,TAP BAISAKHI,BAISAKHI पर टैप करें,CLOUD,BAISAKHI,YELLOW,2,mixed,,yes,15
Q001033,daily-052,4,2100,go,TAP THUNDER,THUNDER पर टैप करें,RABBIT,THUNDER,LEMON,2,mixed,,yes,15
Q001034,daily-052,4,2100,except,TAP BOTH EXCEPT PURI,PURI छोड़कर बाकी दोनों पर टैप करें,BEAT,PURI,MONDAY,"1,3",mixed,,no,23
Q001035,daily-052,5,1700,rule,TAP THE EVEN NUMBER,सम संख्या पर टैप करें,3,19,26,3,even,,yes,21
Q001036,daily-052,5,1700,go,TAP PEN,PEN पर टैप करें,PEN,PIN,BAT,1,mixed,lookalike,yes,18
Q001037,daily-052,5,1700,position,TAP THE WORD RIGHT,जिस पर लिखा है RIGHT उस पर टैप करें,MIDDLE,LEFT,RIGHT,3,position,,yes,21
Q001038,daily-052,5,1700,except,TAP BOTH EXCEPT EAR,EAR छोड़कर बाकी दोनों पर टैप करें,POMEGRANATE,EAR,OFFICE,"1,3",mixed,,no,26
Q001039,daily-052,5,1700,hold,DON'T TAP IF YOU SEE DOOR,अगर DOOR दिखे तो टैप न करें,PARROT,GARDEN,CROW,"1,2,3",mixed,,no,26
Q001040,daily-052,5,1700,except,TAP BOTH EXCEPT SLATE,SLATE छोड़कर बाकी दोनों पर टैप करें,TODAY,TIGER,SLATE,"1,2",mixed,,no,26
Q001041,daily-053,1,4000,except,TAP BOTH EXCEPT GUAVA,GUAVA छोड़कर बाकी दोनों पर टैप करें,GUAVA,MANGO,SUNNY,"2,3",mixed,,no,15
Q001042,daily-053,1,4000,go,TAP DHOTI,DHOTI पर टैप करें,PURPLE,WHISTLE,DHOTI,3,mixed,,no,10
Q001043,daily-053,2,3200,position,TAP THE WORD MIDDLE,जिस पर लिखा है MIDDLE उस पर टैप करें,RIGHT,LEFT,MIDDLE,3,position,slot_conflict,yes,14
Q001044,daily-053,2,3200,hold,DON'T TAP IF YOU SEE ARROW,अगर ARROW दिखे तो टैप न करें,ARROW,DAL,CROW,,mixed,no_go,no,17
Q001045,daily-053,2,3200,hold,DON'T TAP IF YOU SEE CHALK,अगर CHALK दिखे तो टैप न करें,PONGAL,VADA,CHALK,,mixed,no_go,no,17
Q001046,daily-053,3,2600,go,TAP SLATE,SLATE पर टैप करें,SLATE,NIGHT,LEAF,1,mixed,,yes,13
Q001047,daily-053,3,2600,go,TAP BAT,BAT पर टैप करें,DUSSEHRA,BELL,BAT,3,mixed,,yes,13
Q001048,daily-053,3,2600,go,TAP TWO,TWO पर टैप करें,TWO,2,20,1,mixed,digit_word,yes,13
Q001049,daily-053,3,2600,rule,TAP THE EVEN NUMBER,सम संख्या पर टैप करें,85,87,20,3,even,,no,16
Q001050,daily-053,4,2100,position,TAP THE WORD MIDDLE,जिस पर लिखा है MIDDLE उस पर टैप करें,LEFT,RIGHT,MIDDLE,3,position,slot_conflict,yes,18
Q001051,daily-053,4,2100,rule,TAP THE EVEN NUMBER,सम संख्या पर टैप करें,10,29,11,1,even,,yes,18
Q001052,daily-053,4,2100,except,TAP BOTH EXCEPT CUSTARD APPLE,CUSTARD APPLE छोड़कर बाकी दोनों पर टैप करें,STATION,CUSTARD APPLE,THUMB,"1,3",mixed,,no,23
Q001053,daily-053,4,2100,except,TAP BOTH EXCEPT CHRISTMAS,CHRISTMAS छोड़कर बाकी दोनों पर टैप करें,LION,CHRISTMAS,PEACOCK,"1,3",mixed,,no,23
Q001054,daily-053,4,2100,position,TAP THE WORD LEFT,जिस पर लिखा है LEFT उस पर टैप करें,MIDDLE,RIGHT,LEFT,3,position,slot_conflict,yes,18
Q001055,daily-053,5,1700,position,TAP THE WORD LEFT,जिस पर लिखा है LEFT उस पर टैप करें,MIDDLE,RIGHT,LEFT,3,position,slot_conflict,yes,21
Q001056,daily-053,5,1700,go,TAP TEMPLE,TEMPLE पर टैप करें,STATION,TEMPLE,DEW,2,mixed,,yes,18
Q001057,daily-053,5,1700,hold,DON'T TAP IF YOU SEE TABLE,अगर TABLE दिखे तो टैप न करें,MIRROR,TOMORROW,BAT,"1,2,3",mixed,,no,26
Q001058,daily-053,5,1700,go,TAP MYSURU,MYSURU पर टैप करें,MYSURU,CHRISTMAS,GUAVA,1,mixed,,yes,18
Q001059,daily-053,5,1700,go,TAP 33,33 पर टैप करें,33,4,FOUR,1,mixed,digit_word,yes,18
Q001060,daily-053,5,1700,hold,DON'T TAP IF YOU SEE LAMP,अगर LAMP दिखे तो टैप न करें,WHISTLE,RICKSHAW,FLOWER,"1,2,3",mixed,,no,26
Q001061,daily-054,1,4000,rule,TAP THE CITY,शहर पर टैप करें,LUCKNOW,OVAL,RAIN,1,city,,no,12
Q001062,daily-054,1,4000,except,TAP BOTH EXCEPT JALEBI,JALEBI छोड़कर बाकी दोनों पर टैप करें,HAND,JALEBI,CLOUDY,"1,3",mixed,,no,15
Q001063,daily-054,2,3200,except,TAP BOTH EXCEPT FOG,FOG छोड़कर बाकी दोनों पर टैप करें,LEHENGA,DOOR,FOG,"1,2",mixed,,no,17
Q001064,daily-054,2,3200,hold,DON'T TAP IF YOU SEE WATERMELON,अगर WATERMELON दिखे तो टैप न करें,DOSA,CROW,WATERMELON,,mixed,no_go,no,17
Q001065,daily-054,2,3200,except,TAP BOTH EXCEPT NAGPUR,NAGPUR छोड़कर बाकी दोनों पर टैप करें,VEENA,RUNOUT,NAGPUR,"1,2",mixed,,no,17
Q001066,daily-054,3,2600,hold,DON'T TAP IF YOU SEE DOOR,अगर DOOR दिखे तो टैप न करें,BANANA,HOSPITAL,DOOR,,mixed,no_go,no,20
Q001067,daily-054,3,2600,position,TAP THE WORD RIGHT,जिस पर लिखा है RIGHT उस पर टैप करें,MIDDLE,RIGHT,LEFT,2,position,slot_conflict,yes,16
Q001068,daily-054,3,2600,position,TAP THE WORD RIGHT,जिस पर लिखा है RIGHT उस पर टैप करें,RIGHT,MIDDLE,LEFT,1,position,slot_conflict,yes,16
Q001069,daily-054,3,2600,go,TAP BAND,BAND पर टैप करें,TURBAN,BAND,SAND,2,mixed,lookalike,yes,13
Q001070,daily-054,4,2100,position,TAP THE WORD LEFT,जिस पर लिखा है LEFT उस पर टैप करें,LEFT,MIDDLE,RIGHT,1,position,,yes,18
Q001071,daily-054,4,2100,go,TAP CREASE,CREASE पर टैप करें,BROOM,CREASE,HAND,2,mixed,,yes,15
Q001072,daily-054,4,2100,rule,TAP THE SHAPE,आकृति पर टैप करें,HOLI,TRIANGLE,SITAR,2,shape,,yes,18
Q001073,daily-054,4,2100,go,TAP PURPLE,PURPLE पर टैप करें,CHUTNEY,HOLI,PURPLE,3,mixed,,yes,15
Q001074,daily-054,4,2100,go,TAP BAND,BAND पर टैप करें,BAND,TABLA,SAND,1,mixed,lookalike,yes,15
Q001075,daily-054,5,1700,position,TAP THE WORD MIDDLE,जिस पर लिखा है MIDDLE उस पर टैप करें,RIGHT,LEFT,MIDDLE,3,position,slot_conflict,yes,21
Q001076,daily-054,5,1700,position,TAP THE WORD RIGHT,जिस पर लिखा है RIGHT उस पर टैप करें,LEFT,MIDDLE,RIGHT,3,position,,yes,21
Q001077,daily-054,5,1700,rule,TAP THE ANIMAL,जानवर पर टैप करें,BEAT,GOAT,LADDU,2,animal,,yes,21
Q001078,daily-054,5,1700,rule,TAP THE VEHICLE,वाहन पर टैप करें,ONAM,SURAT,CYCLE,3,vehicle,,yes,21
Q001079,daily-054,5,1700,rule,TAP THE ODD NUMBER,विषम संख्या पर टैप करें,70,51,48,2,odd,,yes,21
Q001080,daily-054,5,1700,go,TAP SAND,SAND पर टैप करें,RED,CAT,SAND,3,mixed,,yes,18
Q001081,daily-055,1,4000,except,TAP BOTH EXCEPT NAVRATRI,NAVRATRI छोड़कर बाकी दोनों पर टैप करें,WINDOW,GUARD,NAVRATRI,"1,2",mixed,,no,15
Q001082,daily-055,1,4000,go,TAP MOUNTAIN,MOUNTAIN पर टैप करें,HAIR,MOUNTAIN,MOUSE,2,mixed,,no,10
Q001083,daily-055,2,3200,hold,DON'T TAP IF YOU SEE EID,अगर EID दिखे तो टैप न करें,GUAVA,PONGAL,EID,,mixed,no_go,no,17
Q001084,daily-055,2,3200,except,TAP BOTH EXCEPT HEART,HEART छोड़कर बाकी दोनों पर टैप करें,HEART,BARBER,SQUARE,"2,3",mixed,,no,17
Q001085,daily-055,2,3200,rule,TAP THE ANIMAL,जानवर पर टैप करें,TAILOR,BLACK,MONKEY,3,animal,,no,14
Q001086,daily-055,3,2600,position,TAP THE WORD MIDDLE,जिस पर लिखा है MIDDLE उस पर टैप करें,MIDDLE,RIGHT,LEFT,1,position,slot_conflict,yes,16
Q001087,daily-055,3,2600,except,TAP BOTH EXCEPT TABLE,TABLE छोड़कर बाकी दोनों पर टैप करें,TABLE,KURTA,LYCHEE,"2,3",mixed,,no,20
Q001088,daily-055,3,2600,go,TAP NINE,NINE पर टैप करें,9,51,NINE,3,mixed,digit_word,yes,13
Q001089,daily-055,3,2600,go,TAP BALL,BALL पर टैप करें,THUNDER,PLATE,BALL,3,mixed,,yes,13
Q001090,daily-055,4,2100,go,TAP TEMPLE,TEMPLE पर टैप करें,TEMPLE,BENGALURU,JALEBI,1,mixed,,yes,15
Q001091,daily-055,4,2100,go,TAP SAREE,SAREE पर टैप करें,LEMON,SAREE,PUNE,2,mixed,,yes,15
Q001092,daily-055,4,2100,rule,TAP THE VEHICLE,वाहन पर टैप करें,TURBAN,WINDOW,BUS,3,vehicle,,yes,18
Q001093,daily-055,4,2100,hold,DON'T TAP IF YOU SEE POMEGRANATE,अगर POMEGRANATE दिखे तो टैप न करें,PEACOCK,HOSPITAL,FOOT,"1,2,3",mixed,,no,23
Q001094,daily-055,4,2100,position,TAP THE WORD MIDDLE,जिस पर लिखा है MIDDLE उस पर टैप करें,MIDDLE,LEFT,RIGHT,1,position,slot_conflict,yes,18
Q001095,daily-055,5,1700,go,TAP LEAP,LEAP पर टैप करें,CROSS,LEAP,LEAF,2,mixed,lookalike,yes,18
Q001096,daily-055,5,1700,go,TAP RISE,RISE पर टैप करें,RISE,COW,RICE,1,mixed,lookalike,yes,18
Q001097,daily-055,5,1700,go,TAP HALWA,HALWA पर टैप करें,HALWA,TURBAN,LAMP,1,mixed,,yes,18
Q001098,daily-055,5,1700,rule,TAP THE VEHICLE,वाहन पर टैप करें,SIXER,TRUCK,FOREST,2,vehicle,,yes,21
Q001099,daily-055,5,1700,except,TAP BOTH EXCEPT DIWALI,DIWALI छोड़कर बाकी दोनों पर टैप करें,DIWALI,DOCTOR,STAR,"2,3",mixed,,no,26
Q001100,daily-055,5,1700,rule,TAP THE COLOUR,रंग पर टैप करें,YELLOW,RULER,AUTO,1,colour,,yes,21
Q001101,daily-056,1,4000,except,TAP BOTH EXCEPT JACKFRUIT,JACKFRUIT छोड़कर बाकी दोनों पर टैप करें,JACKFRUIT,POMEGRANATE,ORANGE,"2,3",mixed,,no,15
Q001102,daily-056,1,4000,go,TAP NOON,NOON पर टैप करें,NOON,SAND,COW,1,mixed,,no,10
Q001103,daily-056,2,3200,go,TAP PEN,PEN पर टैप करें,THUMB,LEMON,PEN,3,mixed,,no,12
Q001104,daily-056,2,3200,position,TAP THE WORD RIGHT,जिस पर लिखा है RIGHT उस पर टैप करें,RIGHT,LEFT,MIDDLE,1,position,slot_conflict,yes,14
Q001105,daily-056,2,3200,except,TAP BOTH EXCEPT APPLE,APPLE छोड़कर बाकी दोनों पर टैप करें,WATERMELON,MARKET,APPLE,"1,2",mixed,,no,17
Q001106,daily-056,3,2600,go,TAP SOCKS,SOCKS पर टैप करें,SAND,THUNDER,SOCKS,3,mixed,,yes,13
Q001107,daily-056,3,2600,rule,TAP THE SMALLEST NUMBER,सबसे छोटी संख्या पर टैप करें,87,67,71,2,smallest,,no,16
Q001108,daily-056,3,2600,except,TAP BOTH EXCEPT TOMORROW,TOMORROW छोड़कर बाकी दोनों पर टैप करें,TOMORROW,RABBIT,SOCKS,"2,3",mixed,,no,20
Q001109,daily-056,3,2600,except,TAP BOTH EXCEPT COCONUT,COCONUT छोड़कर बाकी दोनों पर टैप करें,COCONUT,JACKFRUIT,DHOTI,"2,3",mixed,,no,20
Q001110,daily-056,4,2100,go,TAP RISE,RISE पर टैप करें,RICE,PONGAL,RISE,3,mixed,lookalike,yes,15
Q001111,daily-056,4,2100,position,TAP THE WORD RIGHT,जिस पर लिखा है RIGHT उस पर टैप करें,LEFT,RIGHT,MIDDLE,2,position,slot_conflict,yes,18
Q001112,daily-056,4,2100,except,TAP BOTH EXCEPT IDLI,IDLI छोड़कर बाकी दोनों पर टैप करें,IDLI,HAND,CUBE,"2,3",mixed,,no,23
Q001113,daily-056,4,2100,rule,TAP THE VEHICLE,वाहन पर टैप करें,SUNNY,RICKSHAW,WINDOW,2,vehicle,,yes,18
Q001114,daily-056,4,2100,except,TAP BOTH EXCEPT TABLE,TABLE छोड़कर बाकी दोनों पर टैप करें,CHUTNEY,IDLI,TABLE,"1,2",mixed,,no,23
Q001115,daily-056,5,1700,position,TAP THE WORD MIDDLE,जिस पर लिखा है MIDDLE उस पर टैप करें,RIGHT,MIDDLE,LEFT,2,position,,yes,21
Q001116,daily-056,5,1700,go,TAP DOOM,DOOM पर टैप करें,DOOM,DOOR,RICKSHAW,1,mixed,lookalike,yes,18
Q001117,daily-056,5,1700,rule,TAP THE ANIMAL,जानवर पर टैप करें,SPOON,CROW,BLACK,2,animal,,yes,21
Q001118,daily-056,5,1700,go,TAP 46,46 पर टैप करें,46,4,FOUR,1,mixed,digit_word,yes,18
Q001119,daily-056,5,1700,hold,DON'T TAP IF YOU SEE TRIANGLE,अगर TRIANGLE दिखे तो टैप न करें,JALEBI,SCARF,TRIANGLE,,mixed,no_go,no,26
Q001120,daily-056,5,1700,except,TAP BOTH EXCEPT DUSSEHRA,DUSSEHRA छोड़कर बाकी दोनों पर टैप करें,DUSSEHRA,LOHRI,WHITE,"2,3",mixed,,no,26
Q001121,daily-057,1,4000,go,TAP 37,37 पर टैप करें,37,56,24,1,mixed,,no,10
Q001122,daily-057,1,4000,hold,DON'T TAP IF YOU SEE BEAT,अगर BEAT दिखे तो टैप न करें,EID,CHAIR,BEAT,,mixed,no_go,no,15
Q001123,daily-057,2,3200,except,TAP BOTH EXCEPT DOSA,DOSA छोड़कर बाकी दोनों पर टैप करें,METRO,DOSA,SURAT,"1,3",mixed,,no,17
Q001124,daily-057,2,3200,except,TAP BOTH EXCEPT SAREE,SAREE छोड़कर बाकी दोनों पर टैप करें,CHRISTMAS,WINDOW,SAREE,"1,2",mixed,,no,17
Q001125,daily-057,2,3200,rule,TAP THE BIGGEST NUMBER,सबसे बड़ी संख्या पर टैप करें,74,84,24,2,biggest,,no,14
Q001126,daily-057,3,2600,except,TAP BOTH EXCEPT CHRISTMAS,CHRISTMAS छोड़कर बाकी दोनों पर टैप करें,CHRISTMAS,BUS,BROWN,"2,3",mixed,,no,20
Q001127,daily-057,3,2600,rule,TAP THE BIGGEST NUMBER,सबसे बड़ी संख्या पर टैप करें,33,18,75,3,biggest,,no,16
Q001128,daily-057,3,2600,hold,DON'T TAP IF YOU SEE ORANGE,अगर ORANGE दिखे तो टैप न करें,ERASER,ORANGE,IDLI,,mixed,no_go,no,20
Q001129,daily-057,3,2600,position,TAP THE WORD RIGHT,जिस पर लिखा है RIGHT उस पर टैप करें,MIDDLE,LEFT,RIGHT,3,position,,yes,16
Q001130,daily-057,4,2100,hold,DON'T TAP IF YOU SEE SUNNY,अगर SUNNY दिखे तो टैप न करें,RABBIT,SUNNY,POTTER,,mixed,no_go,no,23
Q001131,daily-057,4,2100,except,TAP BOTH EXCEPT KNEE,KNEE छोड़कर बाकी दोनों पर टैप करें,UPMA,KNEE,SNAKE,"1,3",mixed,,no,23
Q001132,daily-057,4,2100,rule,TAP THE ODD NUMBER,विषम संख्या पर टैप करें,34,23,30,2,odd,,yes,18
Q001133,daily-057,4,2100,go,TAP CUBE,CUBE पर टैप करें,JACKFRUIT,PLATE,CUBE,3,mixed,,yes,15
Q001134,daily-057,4,2100,hold,DON'T TAP IF YOU SEE HAIR,अगर HAIR दिखे तो टैप न करें,ORANGE,RAINY,SAMOSA,"1,2,3",mixed,,no,23
Q001135,daily-057,5,1700,hold,DON'T TAP IF YOU SEE YELLOW,अगर YELLOW दिखे तो टैप न करें,VEENA,PAPAYA,YELLOW,,mixed,no_go,no,26
Q001136,daily-057,5,1700,rule,TAP THE FESTIVAL,त्योहार पर टैप करें,WHISTLE,EID,SQUARE,2,festival,,yes,21
Q001137,daily-057,5,1700,rule,TAP THE FESTIVAL,त्योहार पर टैप करें,OFFICE,BAISAKHI,NOSE,2,festival,,yes,21
Q001138,daily-057,5,1700,position,TAP THE WORD RIGHT,जिस पर लिखा है RIGHT उस पर टैप करें,LEFT,RIGHT,MIDDLE,2,position,slot_conflict,yes,21
Q001139,daily-057,5,1700,except,TAP BOTH EXCEPT WATERMELON,WATERMELON छोड़कर बाकी दोनों पर टैप करें,WATERMELON,HELMET,BOOK,"2,3",mixed,,no,26
Q001140,daily-057,5,1700,except,TAP BOTH EXCEPT CHALK,CHALK छोड़कर बाकी दोनों पर टैप करें,GOLDEN,CHALK,BOAT,"1,3",mixed,,no,26
Q001141,daily-058,1,4000,rule,TAP THE ODD NUMBER,विषम संख्या पर टैप करें,48,29,28,2,odd,,no,12
Q001142,daily-058,1,4000,position,TAP THE WORD MIDDLE,जिस पर लिखा है MIDDLE उस पर टैप करें,MIDDLE,RIGHT,LEFT,1,position,slot_conflict,yes,12
Q001143,daily-058,2,3200,rule,TAP THE FRUIT,फल पर टैप करें,SIXER,OFFICE,LEMON,3,fruit,,no,14
Q001144,daily-058,2,3200,except,TAP BOTH EXCEPT SOCKS,SOCKS छोड़कर बाकी दोनों पर टैप करें,LEAF,SOCKS,HEART,"1,3",mixed,,no,17
Q001145,daily-058,2,3200,go,TAP 49,49 पर टैप करें,49,67,77,1,mixed,,no,12
Q001146,daily-058,3,2600,position,TAP THE WORD MIDDLE,जिस पर लिखा है MIDDLE उस पर टैप करें,RIGHT,MIDDLE,LEFT,2,position,,yes,16
Q001147,daily-058,3,2600,hold,DON'T TAP IF YOU SEE HALWA,अगर HALWA दिखे तो टैप न करें,HALWA,MORNING,HEART,,mixed,no_go,no,20
Q001148,daily-058,3,2600,go,TAP 8,8 पर टैप करें,8,86,EIGHT,1,mixed,digit_word,yes,13
Q001149,daily-058,3,2600,hold,DON'T TAP IF YOU SEE PUNE,अगर PUNE दिखे तो टैप न करें,PINK,BOOK,CAMEL,"1,2,3",mixed,,no,20
Q001150,daily-058,4,2100,rule,TAP THE SMALLEST NUMBER,सबसे छोटी संख्या पर टैप करें,77,54,55,2,smallest,,yes,18
Q001151,daily-058,4,2100,go,TAP CROWN,CROWN पर टैप करें,CROWN,COW,CROW,1,mixed,lookalike,yes,15
Q001152,daily-058,4,2100,go,TAP PICKLE,PICKLE पर टैप करें,CREASE,PICKLE,YELLOW,2,mixed,,yes,15
Q001153,daily-058,4,2100,except,TAP BOTH EXCEPT SAND,SAND छोड़कर बाकी दोनों पर टैप करें,ORANGE,ARROW,SAND,"1,2",mixed,,no,23
Q001154,daily-058,4,2100,rule,TAP THE CITY,शहर पर टैप करें,POMEGRANATE,TEACHER,KOCHI,3,city,,yes,18
Q001155,daily-058,5,1700,go,TAP BALL,BALL पर टैप करें,TRUCK,TODAY,BALL,3,mixed,,yes,18
Q001156,daily-058,5,1700,go,TAP 42,42 पर टैप करें,42,8,EIGHT,1,mixed,digit_word,yes,18
Q001157,daily-058,5,1700,hold,DON'T TAP IF YOU SEE TRACTOR,अगर TRACTOR दिखे तो टैप न करें,FOREST,FLUTE,MOUNTAIN,"1,2,3",mixed,,no,26
Q001158,daily-058,5,1700,except,TAP BOTH EXCEPT GUAVA,GUAVA छोड़कर बाकी दोनों पर टैप करें,GUAVA,SUNNY,LUCKNOW,"2,3",mixed,,no,26
Q001159,daily-058,5,1700,hold,DON'T TAP IF YOU SEE MAP,अगर MAP दिखे तो टैप न करें,MAP,STUMPS,PUNE,,mixed,no_go,no,26
Q001160,daily-058,5,1700,go,TAP MORNING,MORNING पर टैप करें,MORNING,ORANGE,TOOTH,1,mixed,,yes,18
Q001161,daily-059,1,4000,go,TAP 81,81 पर टैप करें,3,81,41,2,mixed,,no,10
Q001162,daily-059,1,4000,rule,TAP THE FESTIVAL,त्योहार पर टैप करें,LION,SUN,LOHRI,3,festival,,no,12
Q001163,daily-059,2,3200,except,TAP BOTH EXCEPT LEHENGA,LEHENGA छोड़कर बाकी दोनों पर टैप करें,MYSURU,LEHENGA,PONGAL,"1,3",mixed,,no,17
Q001164,daily-059,2,3200,except,TAP BOTH EXCEPT SPOON,SPOON छोड़कर बाकी दोनों पर टैप करें,PARROT,GUAVA,SPOON,"1,2",mixed,,no,17
Q001165,daily-059,2,3200,except,TAP BOTH EXCEPT SCARF,SCARF छोड़कर बाकी दोनों पर टैप करें,PILLOW,NOSE,SCARF,"1,2",mixed,,no,17
Q001166,daily-059,3,2600,go,TAP THREE,THREE पर टैप करें,66,3,THREE,3,mixed,digit_word,yes,13
Q001167,daily-059,3,2600,position,TAP THE WORD MIDDLE,जिस पर लिखा है MIDDLE उस पर टैप करें,MIDDLE,RIGHT,LEFT,1,position,slot_conflict,yes,16
Q001168,daily-059,3,2600,go,TAP ELEVEN,ELEVEN पर टैप करें,11,ELEVEN,83,2,mixed,digit_word,yes,13
Q001169,daily-059,3,2600,go,TAP TABLE,TABLE पर टैप करें,TABLE,UGADI,EVENING,1,mixed,,yes,13
Q001170,daily-059,4,2100,hold,DON'T TAP IF YOU SEE HYDERABAD,अगर HYDERABAD दिखे तो टैप न करें,SONG,HYDERABAD,DOSA,,mixed,no_go,no,23
Q001171,daily-059,4,2100,position,TAP THE WORD RIGHT,जिस पर लिखा है RIGHT उस पर टैप करें,RIGHT,LEFT,MIDDLE,1,position,slot_conflict,yes,18
Q001172,daily-059,4,2100,go,TAP GREY,GREY पर टैप करें,BENGALURU,PURI,GREY,3,mixed,,yes,15
Q001173,daily-059,4,2100,rule,TAP THE VEHICLE,वाहन पर टैप करें,SHOP,CYCLE,VEENA,2,vehicle,,yes,18
Q001174,daily-059,4,2100,hold,DON'T TAP IF YOU SEE ARROW,अगर ARROW दिखे तो टैप न करें,EYE,ARROW,OVER,,mixed,no_go,no,23
Q001175,daily-059,5,1700,go,TAP LAMP,LAMP पर टैप करें,RED,LAMP,STUMPS,2,mixed,,yes,18
Q001176,daily-059,5,1700,go,TAP 6,6 पर टैप करें,6,SIX,71,1,mixed,digit_word,yes,18
Q001177,daily-059,5,1700,go,TAP HEART,HEART पर टैप करें,HEART,ROTI,BENCH,1,mixed,,yes,18
Q001178,daily-059,5,1700,go,TAP EYE,EYE पर टैप करें,EYE,THUNDER,BAT,1,mixed,,yes,18
Q001179,daily-059,5,1700,go,TAP BLOCK,BLOCK पर टैप करें,TIGER,CLOCK,BLOCK,3,mixed,lookalike,yes,18
Q001180,daily-059,5,1700,hold,DON'T TAP IF YOU SEE UPMA,अगर UPMA दिखे तो टैप न करें,CLOUDY,DRIVER,SNAKE,"1,2,3",mixed,,no,26
Q001181,daily-060,1,4000,go,TAP STONE,STONE पर टैप करें,RAIN,FINGER,STONE,3,mixed,,no,10
Q001182,daily-060,1,4000,position,TAP THE WORD RIGHT,जिस पर लिखा है RIGHT उस पर टैप करें,LEFT,RIGHT,MIDDLE,2,position,slot_conflict,yes,12
Q001183,daily-060,2,3200,except,TAP BOTH EXCEPT PAPAYA,PAPAYA छोड़कर बाकी दोनों पर टैप करें,WIND,PAPAYA,THUNDER,"1,3",mixed,,no,17
Q001184,daily-060,2,3200,hold,DON'T TAP IF YOU SEE METRO,अगर METRO दिखे तो टैप न करें,PARROT,METRO,UGADI,,mixed,no_go,no,17
Q001185,daily-060,2,3200,position,TAP THE WORD RIGHT,जिस पर लिखा है RIGHT उस पर टैप करें,LEFT,MIDDLE,RIGHT,3,position,,yes,14
Q001186,daily-060,3,2600,rule,TAP THE FRUIT,फल पर टैप करें,SITAR,LEAF,MANGO,3,fruit,,no,16
Q001187,daily-060,3,2600,hold,DON'T TAP IF YOU SEE CHIKOO,अगर CHIKOO दिखे तो टैप न करें,RICKSHAW,NOSE,STAR,"1,2,3",mixed,,no,20
Q001188,daily-060,3,2600,rule,TAP THE VEHICLE,वाहन पर टैप करें,HALWA,TRUCK,HAIR,2,vehicle,,no,16
Q001189,daily-060,3,2600,except,TAP BOTH EXCEPT PONGAL,PONGAL छोड़कर बाकी दोनों पर टैप करें,BELL,PONGAL,DUSSEHRA,"1,3",mixed,,no,20
Q001190,daily-060,4,2100,except,TAP BOTH EXCEPT WEAVER,WEAVER छोड़कर बाकी दोनों पर टैप करें,WEAVER,HYDERABAD,LAMP,"2,3",mixed,,no,23
Q001191,daily-060,4,2100,rule,TAP THE ANIMAL,जानवर पर टैप करें,SUNNY,CAT,EVENING,2,animal,,yes,18
